x y
295.0680051223796 897.3223193839503
1213.0198067078195 1105.2029913853578
1520.9722951494875 1502.5643941700894
91.72065282071421 405.8671540491364
1485.6366104310696 1516.672099882179
107.22479414236153 403.8991910532485
1214.5690570738282 1125.384020815606
90.44691196241237 404.2815133730963
397.00538913754997 698.1061226472159
308.5805592757749 904.3874234840773
103.83352706304984 404.114921955598
1207.217687943098 1109.0635079998026
284.8304744169639 899.5515252907745
113.24054327077543 396.0010498334763
1200.1458219791934 1117.2263199621657
1503.8775734012731 1492.8921304914948
290.59257425056154 897.000361563793
394.4039352055115 709.283048688542
295.37911002630204 902.4121290188074
393.6580603163047 711.7601013780888
1482.8602023566325 1504.265885417457
281.4570519918476 903.7553470923668
1201.6911150103242 1099.3086193537094
1498.4214978571451 1486.4475763821777
385.63047188353875 702.298034329842
1203.6602025973984 1096.6724692843718
405.91408136077746 702.4961673860748
1504.5586393436354 1506.3806546500957
403.2218270579772 709.3448657926351
87.37700932498694 399.31181296294665
107.25629696616328 400.14135926060305
1193.1017490414702 1103.6428096263942
291.0963867228205 897.2311228208514
321.9474804327644 900.2193488461103
1478.2842739144744 1519.2031095625587
96.95408208223598 401.89709470086217
88.17917674440243 403.4400065595376
1209.340650038933 1101.2372112118762
1491.7444508774608 1497.0124366283694
92.44271255483166 396.3683355430707
1202.226145105642 1092.5196670552452
410.38393673378266 698.1348150654178
399.7439734914488 702.7412114827149
1497.246992266021 1496.0314728364663
395.63966053862754 697.8316328735215
413.1953739950172 689.4759359137346
1215.544650275889 1100.5621030496807
1500.889913870751 1496.7780098050218
288.8409205320406 907.7576475279908
299.7988633131469 908.9533619236023
